County,District,School,Assistance Status
Los Angeles,Lennox,Century Academy for Excellence,CSI Low Perform
Los Angeles,Lennox,Lennox Virtual Academy,General Assistance
Los Angeles,Lennox,Lennox Middle,General Assistance
Los Angeles,Little Lake City Elementary,Lake Center Middle,General Assistance
Los Angeles,Little Lake City Elementary,Lakeside Middle,General Assistance
Santa Clara,Loma Prieta Joint Union Elementary,C. T. English Middle,General Assistance
Los Angeles,Long Beach Unified,Lindsey Academy,ATSI
Los Angeles,Long Beach Unified,Intellectual Virtues Academy of Long Beach,General Assistance
Los Angeles,Long Beach Unified,Clear Passage Educational Center,General Assistance
Los Angeles,Long Beach Unified,Eunice Sato Academy of Math & Science,General Assistance
Los Angeles,Long Beach Unified,Helen Keller Middle,General Assistance
Los Angeles,Long Beach Unified,Avalon K-12,General Assistance
Los Angeles,Long Beach Unified,California Academy of Mathematics and Science,General Assistance
Los Angeles,Long Beach Unified,Cubberley K-8,General Assistance
Los Angeles,Long Beach Unified,Emerson Parkside Academy,General Assistance
Los Angeles,Long Beach Unified,Gompers K-8,General Assistance
Los Angeles,Long Beach Unified,Henry,General Assistance
Los Angeles,Long Beach Unified,Hudson K-8,ATSI
Los Angeles,Long Beach Unified,Muir K-8,ATSI
Los Angeles,Long Beach Unified,Newcomb Academy,General Assistance
Los Angeles,Long Beach Unified,Jessie Nelson Academy,General Assistance
Los Angeles,Long Beach Unified,Tincher Preparatory,General Assistance
Los Angeles,Long Beach Unified,Hamilton Middle,ATSI
Los Angeles,Long Beach Unified,Hoover Middle,General Assistance
Los Angeles,Long Beach Unified,Jefferson Leadership Academies,General Assistance
Los Angeles,Long Beach Unified,Lindbergh STEM Academy,CSI Low Perform
Los Angeles,Long Beach Unified,Marshall Academy of the Arts,General Assistance
Los Angeles,Long Beach Unified,Rogers Middle,General Assistance
Los Angeles,Long Beach Unified,Stephens Middle,General Assistance
Los Angeles,Long Beach Unified,Bancroft Middle,General Assistance
Los Angeles,Long Beach Unified,Franklin Classical Middle,CSI Low Perform
Los Angeles,Long Beach Unified,Hughes Middle,General Assistance
Los Angeles,Long Beach Unified,Stanford Middle,General Assistance
Los Angeles,Long Beach Unified,Washington Middle,ATSI
Los Angeles,Long Beach Unified,Robinson Academy,General Assistance
Los Angeles,Long Beach Unified,Powell Academy for Success,General Assistance
Orange,Los Alamitos Unified,Oak Middle,General Assistance
Orange,Los Alamitos Unified,Sharon Christa McAuliffe Middle,General Assistance
Los Angeles,Los Angeles County Office of Education,North Valley Military Institute College Preparatory Academy,CSI Low Perform
Los Angeles,Los Angeles County Office of Education,Jardin de la Infancia,General Assistance
Los Angeles,Los Angeles County Office of Education,Aspire Antonio Maria Lugo Academy,General Assistance
Los Angeles,Los Angeles County Office of Education,Aspire Ollin University Preparatory Academy,General Assistance
Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 3,General Assistance
Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 2,General Assistance
Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle,General Assistance
Los Angeles,Los Angeles County Office of Education,"Nidorf, Barry J.",CSI Grad
Los Angeles,Los Angeles County Office of Education,Central Juvenile Hall,CSI Grad
Los Angeles,Los Angeles County Office of Education,"Kirby, Dorothy Camp",General Assistance
Los Angeles,Los Angeles County Office of Education,Afflerbaugh-Paige Camp,CSI Grad
Los Angeles,Los Angeles County Office of Education,"Rockey, Glenn Camp",General Assistance
Los Angeles,Los Angeles County Office of Education,Road to Success Academy at Campus Kilpatrick,CSI Low Perform
Los Angeles,Los Angeles County Office of Education,"Scott, Joseph Camp",General Assistance
Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle - Inglewood,General Assistance
Los Angeles,Los Angeles County Office of Education,Optimist Charter,General Assistance
Los Angeles,Los Angeles County Office of Education,Lashon Academy,General Assistance
Los Angeles,Los Angeles County Office of Education,Valiente College Preparatory Charter,General Assistance
Los Angeles,Los Angeles County Office of Education,Intellectual Virtues Academy,General Assistance
Los Angeles,Los Angeles County Office of Education,LA's Promise Charter Middle #1,CSI Low Perform
