County,District,School,Assistance Status
Los Angeles,Los Angeles Unified,Alliance College-Ready Middle Academy 4,General Assistance
Los Angeles,Los Angeles Unified,Alliance College-Ready Middle Academy 5,General Assistance
Los Angeles,Los Angeles Unified,New Designs Charter School-Watts,General Assistance
Los Angeles,Los Angeles Unified,Daniel Pearl Journalism & Communications Magnet,General Assistance
Los Angeles,Los Angeles Unified,Aspire Titan Academy,General Assistance
Los Angeles,Los Angeles Unified,Watts Learning Center Charter Middle,General Assistance
Los Angeles,Los Angeles Unified,Dorothy V. Johnson Community Day,General Assistance
Los Angeles,Los Angeles Unified,Ararat Charter,General Assistance
Los Angeles,Los Angeles Unified,Ambassador-Global Leadership,General Assistance
Los Angeles,Los Angeles Unified,Ambassador School-Global Education,General Assistance
Los Angeles,Los Angeles Unified,Ingenium Charter,ATSI
Los Angeles,Los Angeles Unified,KIPP Empower Academy,ATSI
Los Angeles,Los Angeles Unified,KIPP Comienza Community Prep,General Assistance
Los Angeles,Los Angeles Unified,Crown Preparatory Academy,General Assistance
Los Angeles,Los Angeles Unified,Carson-Gore Academy of Enviornmental Studies,ATSI
Los Angeles,Los Angeles Unified,Judith F. Baca Arts Academy,General Assistance
Los Angeles,Los Angeles Unified,Vista del Valle Dual Language Academy,General Assistance
Los Angeles,Los Angeles Unified,Carlos Santana Arts Academy,General Assistance
Los Angeles,Los Angeles Unified,TEACH Academy of Technologies,General Assistance
Los Angeles,Los Angeles Unified,Esteban Torres East LA Performing Arts Magnet,General Assistance
Los Angeles,Los Angeles Unified,Orchard Academies 2B,General Assistance
Los Angeles,Los Angeles Unified,Orchard Academies 2C,General Assistance
Los Angeles,Los Angeles Unified,Barack Obama Global Preparation Academy,General Assistance
Los Angeles,Los Angeles Unified,Animo Jefferson Charter Middle,General Assistance
Los Angeles,Los Angeles Unified,Animo Westside Charter Middle,General Assistance
Los Angeles,Los Angeles Unified,Citizens of the World Charter School Hollywood,General Assistance
Los Angeles,Los Angeles Unified,Aspire Gateway Academy Charter,General Assistance
Los Angeles,Los Angeles Unified,Aspire Firestone Academy Charter,General Assistance
Los Angeles,Los Angeles Unified,Para Los Niños - Evelyn Thurman Gratts Primary,General Assistance
Los Angeles,Los Angeles Unified,ISANA Octavia Academy,General Assistance
Los Angeles,Los Angeles Unified,Aspire Pacific Academy,General Assistance
Los Angeles,Los Angeles Unified,Vista Charter Middle,General Assistance
Los Angeles,Los Angeles Unified,Magnolia Science Academy Bell,General Assistance
Los Angeles,Los Angeles Unified,Camino Nuevo Charter Academy #2,General Assistance
Los Angeles,Los Angeles Unified,Arts In Action Community Charter,General Assistance
Los Angeles,Los Angeles Unified,ISANA Palmati Academy,General Assistance
Los Angeles,Los Angeles Unified,ISANA Cardinal Academy,General Assistance
Los Angeles,Los Angeles Unified,Animo Ellen Ochoa Charter Middle,General Assistance
Los Angeles,Los Angeles Unified,Animo James B. Taylor Charter Middle,General Assistance
Los Angeles,Los Angeles Unified,Animo Legacy Charter Middle,ATSI
Los Angeles,Los Angeles Unified,Extera Public,General Assistance
Los Angeles,Los Angeles Unified,Rise Kohyang Middle,General Assistance
Los Angeles,Los Angeles Unified,Valley Academy of Arts and Sciences,General Assistance
Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,General Assistance
Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,General Assistance
Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),General Assistance
Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,General Assistance
Los Angeles,Los Angeles Unified,Sotomayor Arts and Sciences Magnet,General Assistance
Los Angeles,Los Angeles Unified,Dr. Julian Nava Learning Academy,General Assistance
Los Angeles,Los Angeles Unified,Public Service Community at Diego Rivera Learning Complex,General Assistance
Los Angeles,Los Angeles Unified,Communication and Technology at Diego Rivera Learning Complex,General Assistance
Los Angeles,Los Angeles Unified,Diego Rivera Learning Complex Green Design STEAM Academy,General Assistance
Los Angeles,Los Angeles Unified,Performing Arts Community at Diego Rivera Learning Complex,ATSI
Los Angeles,Los Angeles Unified,Rancho Dominguez Preparatory,General Assistance
Los Angeles,Los Angeles Unified,Synergy Quantum Academy,General Assistance
Los Angeles,Los Angeles Unified,Aspire Slauson Academy Charter,General Assistance
Los Angeles,Los Angeles Unified,Aspire Juanita Tate Academy Charter,General Assistance
Los Angeles,Los Angeles Unified,Aspire Inskeep Academy Charter,General Assistance
Los Angeles,Los Angeles Unified,Los Angeles Leadership Primary Academy,General Assistance
Los Angeles,Los Angeles Unified,Camino Nuevo Charter Academy #4,General Assistance
Los Angeles,Los Angeles Unified,Animo College Preparatory Academy,ATSI
Los Angeles,Los Angeles Unified,PUC Early College Academy for Leaders and Scholars (ECALS),General Assistance
